CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,12.9448,13.6086,13.2767
,,,,,,,
ZAR,,18.0767,18.0841,1 8.08040,1.3283,1.3970,1.3627
GBP,*,1.2711,1.2712,1 .27115,16.4541,17.2992,16.8767
JPY,,156.3100,156.3400,1 56.32500,11.4861,12.0774,11.7818
ZMW/ZMK,,25.9260,25.9760,2 5.95100,1.9051,2.0066,1.9559
BWP,,0.0740,0.0751,0 .07455,0.9579,1.0220,0.9900
CHF,,0.9115,0.9116,0 .91155,11.7991,12.4055,12.1023
MWK,,1716.7300,1750.0300,"1 ,733.38000",126.1503,135.1917,130.6710
AUD,*,0.6670,0.6672,0 .66710,8.6341,9.0796,8.8569
SDR,*,1.325030,1.325030,1 .32503,17.5920,17.5920,17.5920
MZN/MET,,63.2600,63.9000,6 3.58000,4.6485,4.9363,4.7924
NOK,,10.6652,10.6702,1 0.66770,0.7837,0.8242,0.8040
SEK,,10.6875,10.6914,1 0.68945,0.7853,0.8259,0.8056
CAD,*,1.3639,1.3643,1 .36410,0.1002,0.1053,0.1028
EUR,*,1.0852,1.0856,1 .08540,14.0476,14.7734,14.4105
CNY,,7.2390,7.2392,7 .23910,0.5319,0.5592,0.5456
INR,,83.2330,83.2430,8 3.23800,6.1162,6.4306,6.2734
NZD,*,0.6124,0.6128,0 .61260,7.9273,8.3393,8.1333
DKK,,6.8738,6.8745,6 .87415,0.5051,0.5310,0.5181
XAU,,2413.3100,2413.8200,"2,413.56500",31239.8152,32848.7108,32044.2630
AFN,,71.7600,71.9600,7 1.86000,5.2731,5.5589,5.4160
THB,,36.3800,36.3900,3 6.38500,2.6733,2.8111,2.7422
ETB,,57.0025,57.8903,5 7.44640,4.1887,4.4720,4.3304
SZL,,18.0795,18.0823,1 8.08090,1.3285,1.3968,1.3627
MUR,,45.8900,46.1900,4 6.04000,3.3721,3.5682,3.4702
MYR,,4.6900,4.6950,4 .69250,0.3446,0.3626,0.3536
LSL,,18.0795,18.0823,1 8.08090,1.3285,1.3968,1.3627
CYP,*,0.3975,0.3980,0 .39775,0.0292,0.0307,0.0300
EGP,,46.7000,46.8000,4 6.75000,3.4316,3.6153,3.5235
BRL,,5.1225,5.1232,5 .12285,0.3764,0.3957,0.3861
TZS,,2590.0000,2600.0000,"2,595.00000",190.3208,200.8528,195.5868
RUB,,90.1225,90.1425,9 0.13250,6.6224,6.9636,6.7930
KES,,131.0000,132.0000,1 31.50000,9.6262,10.1971,9.9117
DEM,,2.2150,2.2175,2 .21625,0.1627,0.1713,0.1670
ESP,,188.4300,188.6500,1 88.54000,13.8463,14.5734,14.2099
ITL,,2192.8300,2195.3200,"2,194.07500",161.1356,169.5908,165.3632
FRF,,7.4287,7.4372,7 .43295,0.5458,0.5745,0.5602
HKD,,7.7495,7.8050,7 .77725,0.5694,0.6029,0.5862
ARS,,889.0000,889.5000,8 89.25000,65.3263,68.7148,67.0206
XAF,,604.2300,623.3700,6 13.80000,44.4005,48.1560,46.2783
