CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZIG,ZIG,ZIG
USD,,1,1,1 .0000,1 3.0863 13.7573,,13.4218
,,,,,,,
ZAR,,19.0133,19.0283,1 9.02080,1.3820,1.4540,1.4180
GBP,*,1.2504,1.2508,1 .25060,16.3631,17.2076,16.7854
JPY,,156.1300,156.1400,1 56.13500,11.3488,11.9315,11.6402
ZMW/ZMK,,26.3000,26.3500,2 6.32500,1.9117,2.0135,1.9626
BWP,,0.0723,0.0726,0 .07245,0.9461,0.9987,0.9724
CHF,,0.9131,0.9135,0 .91330,11.9491,12.5672,12.2582
MWK,,1716.7300,1750.0300,"1 ,733.38000",124.7868,133.7299,129.2584
AUD,*,0.6536,0.6537,0 .65365,8.5532,8.9931,8.7732
SDR,*,1.317960,1.317960,1 .31796,17.6893,17.6893,17.6893
MZN/MET,,63.7900,64.1500,63.97000,4.6368,4.9020,4.7694
NOK,,10.9607,10.9657,10.96320,0.7967,0.8379,0.8173
SEK,,10.8795,10.8837,10.88160,0.7908,0.8316,0.8112
CAD,*,1.3648,1.3652,1.36500,0.0992,0.1043,0.1018
EUR,*,1.0725,1.0726,1.07255,14.0350,14.7560,14.3955
CNY,,7.2457,7.2459,7.24580,0.5266,0.5537,0.5402
INR,,83.3250,83.3350,83.33000,6.0567,6.3681,6.2124
NZD,*,0.5959,0.5961,0.59600,7.7981,8.2007,7.9994
DKK,,6.9521,6.9531,6.95260,0.5053,0.5313,0.5183
XAU,,2334.2300,2334.7400,"2,334.48500",30546.4340,32119.7186,31333.0763
AFN,,72.0300,72.2300,72.13000,5.2357,5.5195,5.3776
THB,,37.0300,37.0500,37.04000,2.6916,2.8312,2.7614
ETB,,56.8795,57.0255,56.95250,4.1344,4.3576,4.2460
SZL,,19.0180,19.0226,19.02030,1.3823,1.4536,1.4180
MUR,,46.2000,46.5000,46.35000,3.3582,3.5533,3.4558
MYR,,4.7740,4.7780,4.77600,0.3470,0.3651,0.3561
LSL,,19.0180,19.0226,19.02030,1.3823,1.4536,1.4180
CYP,*,0.3975,0.3980,0.39775,0.0288,0.0304,0.0296
EGP,,47.8500,47.9500,47.90000,3.4781,3.6641,3.5711
BRL,,5.1589,5.1599,5.15940,0.3749,0.3942,0.3846
TZS,,2585.0000,2595.0000,"2,590.00000",187.9002,198.2989,193.0996
RUB,,92.0200,92.0400,92.03000,6.6888,7.0333,6.8611
KES,,134.5000,135.5000,135.00000,9.7766,10.3543,10.0655
DEM,,2.2150,2.2175,2.21625,0.1610,0.1694,0.1652
ESP,,188.4300,188.6500,188.54000,13.6967,14.4158,14.0563
ITL,,2192.8300,2195.3200,"2,194.07500",159.3939,167.7571,163.5755
FRF,,7.4287,7.4372,7.43295,0.5399,0.5683,0.5541
HKD,,7.7495,7.8295,7.78950,0.5633,0.5982,0.5808
ARS,,873.5000,874.0000,873.75000,63.4935,66.7874,65.1405
XAF,,611.5600,634.6700,623.11500,44.4534,48.4988,46.4761
