CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,12.971,13.6362,13.3036
,,,,,,,
ZAR,,18.3215,18.3309,1 8.32620,1.3435,1.4132,1.3784
GBP,*,1.2751,1.2752,1 .27515,16.5393,17.3888,16.9641
JPY,,157.2300,157.2600,1 57.24500,11.5303,12.1239,11.8271
ZMW/ZMK,,26.9186,26.9664,2 6.94250,1.9740,2.0789,2.0265
BWP,,0.0735,0.0739,0 .07370,0.9533,1.0077,0.9805
CHF,,0.9123,0.9127,0 .91250,11.8334,12.4457,12.1396
MWK,,1716.7300,1750.0300,"1 ,733.38000",125.8950,134.9186,130.4068
AUD,*,0.6645,0.6647,0 .66460,8.6192,9.0639,8.8416
SDR,*,1.325230,1.325230,1 .32523,17.6303,17.6303,17.6303
MZN/MET,,63.2700,63.9700,6 3.62000,4.6398,4.9317,4.7858
NOK,,10.5258,10.5310,1 0.52840,0.7719,0.8118,0.7919
SEK,,10.5923,10.5971,1 0.59470,0.7767,0.8169,0.7968
CAD,*,1.3664,1.3668,1 .36660,0.1002,0.1053,0.1028
EUR,*,1.0846,1.0847,1 .08465,14.0683,14.7911,14.4297
CNY,,7.2482,7.2484,7 .24830,0.5315,0.5588,0.5452
INR,,83.2670,83.2770,8 3.27200,6.1063,6.4202,6.2633
NZD,*,0.6127,0.6132,0 .61295,7.9473,8.3617,8.1545
DKK,,6.8788,6.8796,6 .87920,0.5044,0.5303,0.5174
XAU,,2360.0300,2360.2600,"2,360.14500",30611.9491,32184.9774,31398.4633
AFN,,71.7200,71.9200,7 1.82000,5.2595,5.5446,5.4021
THB,,36.6500,36.6600,3 6.65500,2.6876,2.8263,2.7570
ETB,,57.0287,57.8903,5 7.45950,4.1821,4.4630,4.3226
SZL,,18.3210,18.3290,1 8.32500,1.3435,1.4130,1.3783
MUR,,46.1000,46.4000,4 6.25000,3.3807,3.5772,3.4790
MYR,,4.6990,4.7030,4 .70100,0.3445,0.3625,0.3535
LSL,,18.3150,18.3350,1 8.32500,1.3431,1.4135,1.3783
CYP,*,0.3975,0.3980,0 .39775,0.0291,0.0306,0.0299
EGP,,47.4600,47.5600,4 7.51000,3.4804,3.6666,3.5735
BRL,,5.1602,5.1612,5 .16070,0.3784,0.3979,0.3882
TZS,,2600.0000,2610.0000,"2,605.00000",190.6689,201.2181,195.9435
RUB,,88.6700,88.6900,8 8.68000,6.5025,6.8375,6.6700
KES,,132.0000,133.0000,1 32.50000,9.6801,10.2536,9.9669
DEM,,2.2150,2.2175,2 .21625,0.1624,0.1709,0.1667
ESP,,188.4300,188.6500,1 88.54000,13.8183,14.5439,14.1811
ITL,,2192.8300,2195.3200,"2,194.07500",160.8094,169.2483,165.0289
FRF,,7.4287,7.4372,7 .43295,0.5447,0.5733,0.5590
HKD,,7.7495,7.8128,7 .78115,0.5683,0.6023,0.5853
ARS,,893.0000,894.0000,8 93.50000,65.4874,68.9229,67.2052
XAF,,604.7400,624.2500,6 14.49500,44.3481,48.1265,46.2373
