CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZIG,ZIG,ZIG
USD,,1,1,1 .0000,1 3.0466 13.7156,,13.3811
,,,,,,,
ZAR,,19.2198,19.2306,1 9.22520,1.4013,1.4739,1.4376
GBP,*,1.2469,1.2473,1 .24710,16.2678,17.1074,16.6876
JPY,,155.6900,155.7100,1 55.70000,11.3513,11.9349,11.6431
ZMW/ZMK,,26.1320,26.5020,2 6.31700,1.9052,2.0313,1.9683
BWP,,0.0710,0.0722,0 .07160,0.9263,0.9902,0.9583
CHF,,0.9140,0.9144,0 .91420,11.9245,12.5415,12.2330
MWK,,1716.7300,1750.0300,"1 ,733.38000",125.1662,134.1368,129.6515
AUD,*,0.6508,0.6510,0 .65090,8.4907,8.9288,8.7098
SDR,*,1.316340,1.316340,1 .31634,17.6140,17.6140,17.6140
MZN/MET,,63.7400,64.3200,64.03000,4.6472,4.9300,4.7886
NOK,,10.9728,10.9771,10.97495,0.8000,0.8413,0.8207
SEK,,10.8675,10.8724,10.86995,0.7923,0.8333,0.8128
CAD,*,1.3687,1.3694,1.36905,0.0997,0.1049,0.1023
EUR,*,1.0708,1.0712,1.07100,13.9702,14.6921,14.3312
CNY,,7.2468,7.2469,7.24685,0.5283,0.5554,0.5419
INR,,83.3870,83.3970,83.39200,6.0797,6.3922,6.2360
NZD,*,0.5940,0.5944,0.59420,7.7496,8.1525,7.9511
DKK,,6.9637,6.9643,6.96400,0.5077,0.5338,0.5208
XAU,,2317.5700,2318.0800,"2,317.82500",30236.4087,31793.8580,31015.1334
AFN,,72.1200,72.3200,72.22000,5.2582,5.5432,5.4007
THB,,37.1300,37.1400,37.13500,2.7071,2.8467,2.7769
ETB,,56.8613,57.0255,56.94340,4.1457,4.3709,4.2583
SZL,,19.2224,19.2285,19.22545,1.4014,1.4738,1.4376
MUR,,46.2800,46.5800,46.43000,3.3742,3.5702,3.4722
MYR,,4.7820,4.7870,4.78450,0.3486,0.3669,0.3578
LSL,,19.2224,19.2285,19.22545,1.4014,1.4738,1.4376
CYP,*,0.3975,0.3980,0.39775,0.0289,0.0305,0.0297
EGP,,47.8500,47.9500,47.90000,3.4887,3.6752,3.5820
BRL,,5.1471,5.1473,5.14720,0.3752,0.3945,0.3849
TZS,,2585.0000,2595.0000,"2,590.00000",188.4715,198.9023,193.6869
RUB,,92.3275,92.3475,92.33750,6.7315,7.0782,6.9049
KES,,134.0000,135.0000,134.50000,9.7698,10.3475,10.0587
DEM,,2.2150,2.2175,2.21625,0.1614,0.1699,0.1657
ESP,,188.4300,188.6500,188.54000,13.7383,14.4597,14.0990
ITL,,2192.8300,2195.3200,"2,194.07500",159.8785,168.2675,164.0730
FRF,,7.4287,7.4372,7.43295,0.5416,0.5700,0.5558
HKD,,7.7495,7.8289,7.78920,0.5650,0.6000,0.5825
ARS,,873.0000,873.5000,873.25000,63.6501,66.9523,65.3012
XAF,,612.3600,635.2800,623.82000,44.6469,48.6931,46.6700
