CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZIG,ZIG,ZIG
USD,,1,1,1 .0000,1 2.9223 13.5849,,13.2536
,,,,,,,
ZAR,,19.1900,19.2006,1 9.19530,1.4125,1.4858,1.4492
GBP,*,1.2342,1.2346,1 .23440,15.9487,16.7719,16.3603
JPY,,154.7800,154.8000,1 54.79000,11.3935,11.9792,11.6864
ZMW/ZMK,,25.8000,25.8500,2 5.82500,1.8991,2.0004,1.9498
BWP,,0.0720,0.0722,0 .07210,0.9304,0.9808,0.9556
CHF,,0.9123,0.9127,0 .91250,11.7890,12.3989,12.0940
MWK,,1716.7300,1750.0300,"1 ,733.38000",126.3704,135.4271,130.8988
AUD,*,0.6452,0.6454,0 .64530,8.3374,8.7676,8.5525
SDR,*,1.314490,1.314490,1 .31449,17.4217,17.4217,17.4217
MZN/MET,,63.9000,64.1800,64.04000,4.7037,4.9666,4.8352
NOK,,10.9886,10.9932,10.99090,0.8088,0.8507,0.8298
SEK,,10.8842,10.8883,10.88625,0.8011,0.8425,0.8218
CAD,*,1.3702,1.3703,1.37025,0.1008,0.1060,0.1034
EUR,*,1.0649,1.0653,1.06510,13.7609,14.4719,14.1164
CNY,,7.2450,7.2451,7.24505,0.5333,0.5606,0.5470
INR,,83.3580,83.3680,83.36300,6.1360,6.4514,6.2937
NZD,*,0.5910,0.5914,0.59120,7.6370,8.0341,7.8356
DKK,,7.0048,7.0054,7.00510,0.5156,0.5421,0.5289
XAU,,2308.9600,2309.4600,"2,309.21000",29837.0738,31373.7831,30605.4285
AFN,,72.0900,72.2900,72.19000,5.3066,5.5942,5.4504
THB,,37.0000,37.0200,37.01000,2.7236,2.8648,2.7942
ETB,,56.8323,57.0255,56.92890,4.1834,4.4129,4.2982
SZL,,19.1964,19.1983,19.19735,1.4130,1.4856,1.4493
MUR,,46.4100,46.7100,46.56000,3.4162,3.6146,3.5154
MYR,,4.7770,4.7810,4.77900,0.3516,0.3699,0.3608
LSL,,19.1964,19.1983,19.19735,1.4130,1.4856,1.4493
CYP,*,0.3975,0.3980,0.39775,0.0292,0.0307,0.0300
EGP,,48.1200,48.2200,48.17000,3.5421,3.7315,3.6368
BRL,,5.1658,5.1668,5.16630,0.3802,0.3998,0.3900
TZS,,2585.0000,2595.0000,"2,590.00000",190.2848,200.8156,195.5502
RUB,,93.4175,93.4375,93.42750,6.8765,7.2307,7.0536
KES,,133.0000,134.0000,133.50000,9.7902,10.3696,10.0799
DEM,,2.2150,2.2175,2.21625,0.1630,0.1716,0.1673
ESP,,188.4300,188.6500,188.54000,13.8705,14.5987,14.2346
ITL,,2192.8300,2195.3200,"2,194.07500",161.4167,169.8861,165.6514
FRF,,7.4287,7.4372,7.43295,0.5468,0.5755,0.5612
HKD,,7.7495,7.8365,7.79300,0.5704,0.6064,0.5884
ARS,,872.0000,872.5000,872.25000,64.1889,67.5189,65.8539
XAF,,615.7500,633.5100,624.63000,45.3260,49.0245,47.1753
