CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,12.9833,13.6491,13.3162
,,,,,,,
ZAR,,18.5525,18.5570,1 8.55475,1.3592,1.4292,1.3942
GBP,*,1.2808,1.2812,1 .28100,16.6290,17.4872,17.0581
JPY,,156.1500,156.1600,1 56.15500,11.4403,12.0277,11.7340
ZMW/ZMK,,25.9440,26.3000,2 6.12200,1.9007,2.0256,1.9632
BWP,,0.0732,0.0733,0 .07325,0.9503,1.0004,0.9754
CHF,,0.8951,0.8956,0 .89535,11.6213,12.2241,11.9227
MWK,,1716.7300,1750.0300,"1 ,733.38000",125.7760,134.7908,130.2834
AUD,*,0.6678,0.6680,0 .66790,8.6702,9.1175,8.8939
SDR,*,1.323310,1.323310,1 .32331,17.6214,17.6214,17.6214
MZN/MET,,63.3200,63.9300,6 3.62500,4.6391,4.9240,4.7816
NOK,,10.4535,10.4584,1 0.45595,0.7658,0.8055,0.7857
SEK,,10.4150,10.4187,1 0.41685,0.7630,0.8024,0.7827
CAD,*,1.3638,1.3642,1 .36400,0.0999,0.1050,0.1025
EUR,*,1.0906,1.0910,1 .09080,14.1595,14.8911,14.5253
CNY,,7.2455,7.2456,7 .24555,0.5308,0.5580,0.5444
INR,,83.3925,83.4025,8 3.39750,6.1097,6.4238,6.2668
NZD,*,0.6189,0.6193,0 .61910,8.0353,8.4528,8.2441
DKK,,6.8375,6.8380,6 .83775,0.5009,0.5266,0.5138
XAU,,2348.4100,2348.9200,"2,348.66500",30490.1115,32060.6439,31275.3777
AFN,,70.6500,70.8500,7 0.75000,5.1761,5.4570,5.3166
THB,,36.5400,36.5600,3 6.55000,2.6770,2.8159,2.7465
ETB,,57.0675,57.8903,5 7.47890,4.1810,4.4588,4.3199
SZL,,18.5520,18.5557,1 8.55385,1.3592,1.4291,1.3942
MUR,,46.0000,46.3000,4 6.15000,3.3701,3.5661,3.4681
MYR,,4.6920,4.6980,4 .69500,0.3437,0.3618,0.3528
LSL,,18.5520,18.5557,1 8.55385,1.3592,1.4291,1.3942
CYP,*,0.3975,0.3980,0 .39775,0.0291,0.0306,0.0299
EGP,,47.0500,47.1500,4 7.10000,3.4471,3.6315,3.5393
BRL,,5.2507,5.2516,5 .25115,0.3846,0.4044,0.3945
TZS,,2595.0000,2605.0000,"2,600.00000",190.1224,200.6423,195.3824
RUB,,89.2000,89.2200,8 9.21000,6.5352,6.8719,6.7036
KES,,130.0000,131.0000,1 30.50000,9.5244,10.0898,9.8071
DEM,,2.2150,2.2175,2 .21625,0.1622,0.1707,0.1665
ESP,,188.4300,188.6500,1 88.54000,13.8053,14.5302,14.1678
ITL,,2192.8300,2195.3200,"2,194.07500",160.6574,169.0879,164.8727
FRF,,7.4287,7.4372,7 .43295,0.5442,0.5728,0.5585
HKD,,7.7495,7.8185,7 .78400,0.5677,0.6021,0.5849
ARS,,896.0000,897.0000,8 96.50000,65.6453,69.0887,67.3670
XAF,,601.2400,625.2300,6 13.23500,44.0497,48.1564,46.1031
