CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,13.036,13.7046,13.3703
,,,,,,,
ZAR,,18.1281,18.1341,1 8.13110,1.3227,1.3910,1.3569
GBP,*,1.2703,1.2707,1 .27050,16.5596,17.4144,16.9870
JPY,,155.7000,155.7300,1 55.71500,11.3611,11.9461,11.6536
ZMW/ZMK,,25.5500,25.6000,2 5.57500,1.8643,1.9637,1.9140
BWP,,0.0739,0.0741,0 .07400,0.9633,1.0155,0.9894
CHF,,0.9089,0.9095,0 .90920,11.8484,12.4643,12.1564
MWK,,1716.7300,1750.0300,"1 ,733.38000",125.2666,134.2454,129.7560
AUD,*,0.6703,0.6705,0 .67040,8.7380,9.1889,8.9635
SDR,*,1.323780,1.323780,1 .32378,17.6993,17.6993,17.6993
MZN/MET,,63.2500,64.0800,6 3.66500,4.6152,4.9156,4.7654
NOK,,10.6587,10.6642,1 0.66145,0.7777,0.8180,0.7979
SEK,,10.7019,10.7052,1 0.70355,0.7808,0.8212,0.8010
CAD,*,1.3602,1.3606,1 .36040,0.0992,0.1043,0.1018
EUR,*,1.0879,1.0883,1 .08810,14.1819,14.9147,14.5483
CNY,,7.2294,7.2297,7 .22955,0.5275,0.5545,0.5410
INR,,83.2650,83.2750,8 3.27000,6.0756,6.3880,6.2318
NZD,*,0.6128,0.6132,0 .61300,7.9884,8.4036,8.1960
DKK,,6.8565,6.8575,6 .85700,0.5003,0.5260,0.5132
XAU,,2439.3800,2439.8900,"2,439.63500",31799.8613,33437.7164,32618.7889
AFN,,71.7600,71.9600,7 1.86000,5.2361,5.5200,5.3781
THB,,35.8700,35.8900,3 5.88000,2.6173,2.7531,2.6852
ETB,,56.9888,57.8903,5 7.43955,4.1583,4.4407,4.2995
SZL,,18.1301,18.1333,1 8.13170,1.3229,1.3910,1.3570
MUR,,45.5600,45.8600,4 5.71000,3.3244,3.5179,3.4212
MYR,,4.6820,4.6860,4 .68400,0.3416,0.3594,0.3505
LSL,,18.1301,18.1333,1 8.13170,1.3229,1.3910,1.3570
CYP,*,0.3975,0.3980,0 .39775,0.0290,0.0305,0.0298
EGP,,46.8000,46.9000,4 6.85000,3.4149,3.5977,3.5063
BRL,,5.1029,5.1041,5 .10350,0.3723,0.3915,0.3819
TZS,,2590.0000,2600.0000,"2,595.00000",188.9876,199.4470,194.2173
RUB,,91.1200,91.1400,9 1.13000,6.6488,6.9913,6.8201
KES,,131.0000,132.0000,1 31.50000,9.5588,10.1257,9.8423
DEM,,2.2150,2.2175,2 .21625,0.1616,0.1701,0.1659
ESP,,188.4300,188.6500,1 88.54000,13.7493,14.4714,14.1104
ITL,,2192.8300,2195.3200,"2,194.07500",160.0068,168.4038,164.2053
FRF,,7.4287,7.4372,7 .43295,0.5420,0.5705,0.5563
HKD,,7.7495,7.8000,7 .77475,0.5654,0.5983,0.5819
ARS,,886.5000,887.0000,8 86.75000,64.6863,68.0421,66.3642
XAF,,603.2200,608.6000,6 05.91000,44.0158,46.6859,45.3509
