CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,12.9469,13.6109,13.2789
,,,,,,,
ZAR,,18.3366,18.3516,1 8.34410,1.3471,1.4174,1.3823
GBP,*,1.2774,1.2781,1 .27775,16.5383,17.3960,16.9672
JPY,,156.7500,156.7600,1 56.75500,11.5165,12.1079,11.8122
ZMW/ZMK,,26.7791,26.8291,2 6.80410,1.9674,2.0722,2.0198
BWP,,0.0736,0.0738,0 .07370,0.9528,1.0044,0.9786
CHF,,0.9118,0.9123,0 .91205,11.8049,12.4172,12.1111
MWK,,1716.7300,1750.0300,"1 ,733.38000",126.1290,135.1698,130.6494
AUD,*,0.6666,0.6668,0 .66670,8.6304,9.0757,8.8531
SDR,*,1.323360,1.323360,1 .32336,17.5727,17.5727,17.5727
MZN/MET,,63.2500,63.9400,6 3.59500,4.6470,4.9386,4.7928
NOK,,10.4682,10.4720,1 0.47010,0.7691,0.8088,0.7890
SEK,,10.5835,10.5872,1 0.58535,0.7775,0.8177,0.7976
CAD,*,1.3622,1.3623,1 .36225,0.1000,0.1052,0.1026
EUR,*,1.0874,1.0878,1 .08760,14.0784,14.8059,14.4422
CNY,,7.2459,7.2461,7 .24600,0.5323,0.5596,0.5460
INR,,83.1640,83.1740,8 3.16900,6.1101,6.4242,6.2672
NZD,*,0.6159,0.6160,0 .61595,7.9739,8.3843,8.1791
DKK,,6.8596,6.8606,6 .86010,0.5039,0.5299,0.5169
XAU,,2352.0900,2352.5000,"2,352.29500",30452.2740,32019.6422,31235.9581
AFN,,71.7200,71.9200,7 1.82000,5.2693,5.5549,5.4121
THB,,36.5400,36.5700,3 6.55500,2.6846,2.8246,2.7546
ETB,,57.0287,57.8903,5 7.45950,4.1899,4.4713,4.3306
SZL,,18.3435,18.3471,1 8.34530,1.3477,1.4171,1.3824
MUR,,46.0500,46.3500,4 6.20000,3.3833,3.5800,3.4817
MYR,,4.6880,4.6930,4 .69050,0.3444,0.3624,0.3534
LSL,,18.3435,18.3471,1 8.34530,1.3477,1.4171,1.3824
CYP,*,0.3975,0.3980,0 .39775,0.0292,0.0307,0.0300
EGP,,47.1200,47.2200,4 7.17000,3.4619,3.6472,3.5546
BRL,,5.1728,5.1736,5 .17320,0.3800,0.3996,0.3898
TZS,,2595.0000,2605.0000,"2,600.00000",190.6560,201.2064,195.9312
RUB,,88.5925,88.6125,8 8.60250,6.5089,6.8443,6.6766
KES,,132.5000,133.5000,1 33.00000,9.7348,10.3113,10.0231
DEM,,2.2150,2.2175,2 .21625,0.1627,0.1712,0.1670
ESP,,188.4300,188.6500,1 88.54000,13.8440,14.5710,14.2075
ITL,,2192.8300,2195.3200,"2,194.07500",161.1083,169.5633,165.3358
FRF,,7.4287,7.4372,7 .43295,0.5457,0.5744,0.5601
HKD,,7.7495,7.8070,7 .77825,0.5693,0.6030,0.5862
ARS,,893.0000,894.0000,8 93.50000,65.6091,69.0512,67.3302
XAF,,603.0100,624.2600,6 13.63500,44.3034,48.2169,46.2602
