CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,13.2424,13.9216,13.5820
,,,,,,,
ZAR,,17.9617,17.9769,1 7.96930,1.2902,1.3575,1.3239
GBP,*,1.2706,1.2713,1 .27095,16.8257,17.6985,17.2621
JPY,,158.1700,158.2200,1 58.19500,11.3614,11.9479,11.6547
ZMW/ZMK,,25.5000,25.5500,2 5.52500,1.8316,1.9294,1.8805
BWP,,0.0737,0.0741,0 .07390,0.9759,1.0315,1.0037
CHF,,0.8836,0.8841,0 .88385,11.7009,12.3080,12.0045
MWK,,1716.7300,1750.0300,"1 ,733.38000",123.3141,132.1535,127.7338
AUD,*,0.6667,0.6669,0 .66680,8.8287,9.2843,9.0565
SDR,*,1.317520,1.317520,1 .31752,17.8945,17.8945,17.8945
MZN/MET,,63.2500,64.5200,6 3.88500,4.5432,4.8722,4.7077
NOK,,10.5779,10.5832,1 0.58055,0.7598,0.7991,0.7795
SEK,,10.4519,10.4558,1 0.45385,0.7507,0.7895,0.7701
CAD,*,1.3714,1.3718,1 .37160,0.0985,0.1035,0.1010
EUR,*,1.0738,1.0740,1 .07390,14.2196,14.9517,14.5857
CNY,,7.2600,7.2601,7 .26005,0.5214,0.5482,0.5348
INR,,83.5040,83.5140,8 3.50900,5.9981,6.3065,6.1523
NZD,*,0.6129,0.6132,0 .61305,8.1162,8.5367,8.3265
DKK,,6.9445,6.9455,6 .94500,0.4988,0.5244,0.5116
XAU,,2342.3400,2342.5700,"2,342.45500",31018.2032,32612.3225,31815.2629
AFN,,70.7000,70.9000,7 0.80000,5.0784,5.3540,5.2162
THB,,36.6800,36.7000,3 6.69000,2.6347,2.7714,2.7031
ETB,,57.2406,58.1366,5 7.68860,4.1116,4.3901,4.2509
SZL,,17.9665,17.9728,1 7.96965,1.2905,1.3572,1.3239
MUR,,46.7300,47.0300,4 6.88000,3.3566,3.5514,3.4540
MYR,,4.7080,4.7140,4 .71100,0.3381,0.3559,0.3470
LSL,,17.9665,17.9728,1 7.96965,1.2905,1.3572,1.3239
CYP,*,0.3975,0.3980,0 .39775,0.0285,0.0300,0.0293
EGP,,47.6600,47.7600,4 7.71000,3.4234,3.6065,3.5150
BRL,,5.4232,5.4242,5 .42370,0.3895,0.4096,0.3996
TZS,,2605.0000,2615.0000,"2,610.00000",187.1192,197.4717,192.2955
RUB,,83.0000,83.0200,8 3.01000,5.9619,6.2692,6.1156
KES,,128.0000,129.0000,1 28.50000,9.1943,9.7414,9.4679
DEM,,2.2150,2.2175,2 .21625,0.1591,0.1674,0.1633
ESP,,188.4300,188.6500,1 88.54000,13.5350,14.2459,13.8905
ITL,,2192.8300,2195.3200,"2,194.07500",157.5127,165.7796,161.6462
FRF,,7.4287,7.4372,7 .43295,0.5336,0.5616,0.5476
HKD,,7.7495,7.8056,7 .77755,0.5566,0.5894,0.5730
ARS,,905.7400,905.7600,9 05.75000,65.0600,68.3984,66.7292
XAF,,610.7600,622.1700,6 16.46500,43.8713,46.9831,45.4272
