CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,12.9781,13.6437,13.3109
,,,,,,,
ZAR,,18.7452,18.7566,1 8.75090,1.3739,1.4452,1.4096
GBP,*,1.2740,1.2741,1 .27405,16.5340,17.3834,16.9587
JPY,,157.4300,157.4500,1 57.44000,11.5386,12.1319,11.8353
ZMW/ZMK,,25.7500,25.8000,2 5.77500,1.8873,1.9879,1.9376
BWP,,0.0731,0.0733,0 .07320,0.9486,1.0000,0.9743
CHF,,0.9012,0.9016,0 .90140,11.6958,12.3011,11.9985
MWK,,1716.2300,1749.5300,"1 ,732.88000",125.7891,134.8063,130.2977
AUD,*,0.6648,0.6649,0 .66485,8.6278,9.0716,8.8497
SDR,*,1.323540,1.323540,1 .32354,17.6175,17.6175,17.6175
MZN/MET,,63.2500,64.4400,6 3.84500,4.6358,4.9652,4.8005
NOK,,10.4825,10.4881,1 0.48530,0.7683,0.8081,0.7882
SEK,,10.5142,10.5173,1 0.51575,0.7706,0.8103,0.7905
CAD,*,1.3628,1.3629,1 .36285,0.0998,0.1050,0.1024
EUR,*,1.0850,1.0854,1 .08520,14.0812,14.8088,14.4450
CNY,,7.2456,7.2458,7 .24570,0.5310,0.5583,0.5447
INR,,83.0610,83.0710,8 3.06600,6.0878,6.4008,6.2443
NZD,*,0.6146,0.6150,0 .61480,7.9763,8.3908,8.1836
DKK,,6.8725,6.8731,6 .87280,0.5037,0.5295,0.5166
XAU,,2322.7700,2323.0100,"2,322.89000",30145.1413,31694.4515,30919.7964
AFN,,70.8100,71.0100,7 0.91000,5.1899,5.4715,5.3307
THB,,36.8400,36.8600,3 6.85000,2.7001,2.8401,2.7701
ETB,,57.0504,57.8903,5 7.47035,4.1814,4.4606,4.3210
SZL,,18.7446,18.7575,1 8.75105,1.3738,1.4453,1.4096
MUR,,46.1300,46.4300,4 6.28000,3.3810,3.5775,3.4793
MYR,,4.7040,4.7100,4 .70700,0.3447,0.3629,0.3538
LSL,,18.7446,18.7575,1 8.75105,1.3738,1.4453,1.4096
CYP,*,0.3975,0.3980,0 .39775,0.0291,0.0306,0.0299
EGP,,47.2700,47.3700,4 7.32000,3.4646,3.6499,3.5573
BRL,,5.2455,5.2462,5 .24585,0.3844,0.4042,0.3943
TZS,,2595.0000,2605.0000,"2,600.00000",190.1976,200.7227,195.4602
RUB,,90.0400,90.0600,9 0.05000,6.5993,6.9393,6.7693
KES,,130.0000,131.0000,1 30.50000,9.5282,10.0939,9.8111
DEM,,2.2150,2.2175,2 .21625,0.1623,0.1708,0.1666
ESP,,188.4300,188.6500,1 88.54000,13.8107,14.5360,14.1734
ITL,,2192.8300,2195.3200,"2,194.07500",160.7210,169.1557,164.9384
FRF,,7.4287,7.4372,7 .43295,0.5444,0.5730,0.5587
HKD,,7.7495,7.8190,7 .78425,0.5679,0.6024,0.5852
ARS,,895.5000,896.0000,8 95.75000,65.6346,69.0393,67.3370
XAF,,604.1400,608.4600,6 06.30000,44.2797,46.8835,45.5816
