CURRENCY,INDICES,BID,ASK,Mid_Rate,BID_1,ASK_1,Mid_Rate_1
CURRENCY,INDICES,BID,ASK,Mid Rate,BID,ASK,Mid Rate
,,,,,ZiG,ZiG,ZiG
INTERBANK RATE,,,,,,,
USD,,1,1,1 .0000,13.1468,13.821,13.4839
,,,,,,,
ZAR,,18.4145,18.4302,1 8.42235,1.3323,1.4018,1.3671
GBP,*,1.2773,1.2777,1 .27750,16.7924,17.6590,17.2257
JPY,,157.1500,157.1800,1 57.16500,11.3703,11.9557,11.6630
ZMW/ZMK,,26.3630,26.7480,2 6.55550,1.9074,2.0345,1.9710
BWP,,0.0729,0.0736,0 .07325,0.9584,1.0172,0.9878
CHF,,0.8955,0.8959,0 .89570,11.7729,12.3822,12.0776
MWK,,1716.7300,1750.0300,"1 ,733.38000",124.2117,133.1145,128.6631
AUD,*,0.6648,0.6649,0 .66485,8.7399,9.1895,8.9647
SDR,*,1.320190,1.320190,1 .32019,17.8013,17.8013,17.8013
MZN/MET,,63.2700,64.0800,6 3.67500,4.5778,4.8741,4.7260
NOK,,10.5959,10.6002,1 0.59805,0.7666,0.8062,0.7864
SEK,,10.4057,10.4095,1 0.40760,0.7528,0.7917,0.7723
CAD,*,1.3742,1.3746,1 .37440,0.0994,0.1045,0.1020
EUR,*,1.0803,1.0804,1 .08035,14.2024,14.9322,14.5673
CNY,,7.2510,7.2511,7 .25105,0.5246,0.5515,0.5381
INR,,83.5375,83.5475,8 3.54250,6.0442,6.3549,6.1996
NZD,*,0.6165,0.6169,0 .61670,8.1050,8.5261,8.3156
DKK,,6.9050,6.9054,6 .90520,0.4996,0.5252,0.5124
XAU,,2310.3700,2310.8700,"2,310.62000",30373.9723,31938.5342,31156.2533
AFN,,70.8600,71.0600,7 0.96000,5.1269,5.4051,5.2660
THB,,36.6300,36.6500,3 6.64000,2.6503,2.7877,2.7190
ETB,,57.1651,58.1366,5 7.65085,4.1361,4.4221,4.2791
SZL,,18.4154,18.4305,1 8.42295,1.3324,1.4019,1.3672
MUR,,46.2500,46.5500,4 6.40000,3.3463,3.5407,3.4435
MYR,,4.7070,4.7120,4 .70950,0.3405,0.3584,0.3495
LSL,,18.4154,18.4305,1 8.42295,1.3324,1.4019,1.3672
CYP,*,0.3975,0.3980,0 .39775,0.0287,0.0302,0.0295
EGP,,47.6400,47.7400,4 7.69000,3.4469,3.6313,3.5391
BRL,,5.4017,5.4027,5 .40220,0.3908,0.4109,0.4009
TZS,,2610.0000,2620.0000,"2,615.00000",188.8430,199.2880,194.0655
RUB,,89.1500,89.1700,8 9.16000,6.4503,6.7826,6.6165
KES,,128.0000,129.0000,1 28.50000,9.2612,9.8122,9.5367
DEM,,2.2150,2.2175,2 .21625,0.1602,0.1686,0.1644
ESP,,188.4300,188.6500,1 88.54000,13.6336,14.3494,13.9915
ITL,,2192.8300,2195.3200,"2,194.07500",158.6592,166.9851,162.8222
FRF,,7.4287,7.4372,7 .43295,0.5374,0.5657,0.5516
HKD,,7.7495,7.8088,7 .77915,0.5607,0.5939,0.5773
ARS,,901.5000,902.0000,9 01.75000,65.2268,68.6098,66.9183
XAF,,607.2500,609.9700,6 08.61000,43.9367,46.3968,45.1668
